Location,City/Regency
"Andir, Bandung",Bandung City
"Astanaanyar, Bandung",Bandung City
"Antapani, Bandung",Bandung City
"Arcamanik, Bandung",Bandung City
"Babakan Ciparay, Bandung",Bandung City
"Bandung Kidul, Bandung",Bandung City
"Bandung Kulon, Bandung",Bandung City
"Bandung Wetan, Bandung",Bandung City
"Batununggal, Bandung",Bandung City
"Bojongloa Kaler, Bandung",Bandung City
"Bojongloa Kidul, Bandung",Bandung City
"Buah Batu, Bandung",Bandung City
"Cibeunying Kaler, Bandung",Bandung City
"Cibeunying Kidul, Bandung",Bandung City
"Cibiru, Bandung",Bandung City
"Cicendo, Bandung",Bandung City
"Cidadap, Bandung",Bandung City
"Cinambo, Bandung",Bandung City
"Coblong, Bandung",Bandung City
"Gedebage, Bandung",Bandung City
"Kiaracondong, Bandung",Bandung City
"Lengkong, Bandung",Bandung City
"Mandalajati, Bandung",Bandung City
"Panyileukan, Bandung",Bandung City
"Rancasari, Bandung",Bandung City
"Regol, Bandung",Bandung City
"Sukajadi, Bandung",Bandung City
"Sukasari, Bandung",Bandung City
"Sumur Bandung, Bandung",Bandung City
"Ujungberung, Bandung",Bandung City
"Arjasari, Bandung",Bandung Regency
"Baleendah, Bandung",Bandung Regency
"Banjaran, Bandung",Bandung Regency
"Bojongsoang, Bandung",Bandung Regency
"Cangkuang, Bandung",Bandung Regency
"Cicalengka, Bandung",Bandung Regency
"Cikancung, Bandung",Bandung Regency
"Cilengkrang, Bandung",Bandung Regency
"Cileunyi, Bandung",Bandung Regency
"Cimaung, Bandung",Bandung Regency
"Cimenyan, Bandung",Bandung Regency
"Ciparay, Bandung",Bandung Regency
"Ciwidey, Bandung",Bandung Regency
"Dayeuhkolot, Bandung",Bandung Regency
"Ibun, Bandung",Bandung Regency
"Katapang, Bandung",Bandung Regency
"Kertasari, Bandung",Bandung Regency
"Kutawaringin, Bandung",Bandung Regency
"Majalaya, Bandung",Bandung Regency
"Margaasih, Bandung",Bandung Regency
"Margahayu, Bandung",Bandung Regency
"Nagreg, Bandung",Bandung Regency
"Pacet, Bandung",Bandung Regency
"Pameungpeuk, Bandung",Bandung Regency
"Pangalengan, Bandung",Bandung Regency
"Paseh, Bandung",Bandung Regency
"Pasirjambu, Bandung",Bandung Regency
"Rancabali, Bandung",Bandung Regency
"Rancaekek, Bandung",Bandung Regency
"Solokanjeruk, Bandung",Bandung Regency
"Soreang, Bandung",Bandung Regency
"Batujajar, Bandung",West Bandung Regency
"Cihampelas, Bandung",West Bandung Regency
"Cikalong Wetan, Bandung",West Bandung Regency
"Cililin, Bandung",West Bandung Regency
"Cipatat, Bandung",West Bandung Regency
"Cipeundeuy, Bandung",West Bandung Regency
"Cipongkor, Bandung",West Bandung Regency
"Cisarua, Bandung",West Bandung Regency
"Gununghalu, Bandung",West Bandung Regency
"Lembang, Bandung",West Bandung Regency
"Ngamprah, Bandung",West Bandung Regency
"Padalarang, Bandung",West Bandung Regency
"Parongpong, Bandung",West Bandung Regency
"Rongga, Bandung",West Bandung Regency
"Saguling, Bandung",West Bandung Regency
"Sindangkerta, Bandung",West Bandung Regency
